index,id,title,authors,field,field_multi,is_AP,is_NA,community,four
1652,2502.06286v1,Stability and interpolation estimates of Hellinger-Reissner virtual element spaces,Michele Botti; Lorenzo Mascotto; Giuseppe Vacca; Michele Visinoni,,,0,1,19,NA-only
1653,2502.06176v1,Error analysis of the space-time interface-fitted finite element method for an inverse source problem for an advection-diffusion equation with moving subdomains,Thi Thanh Mai Ta; Quang Huy Nguyen; Dinh Nho Hào,AP_NA,AP;NA,1,1,25,AP+NA
1654,2502.06158v1,Efficient numerical method for the Schrödinger equation with high-contrast potentials,Xingguang Jin; Liu Liu; Xiang Zhong; Eric T. Chung,,,0,1,13,NA-only
1655,2502.06026v1,A Multimodal PDE Foundation Model for Prediction and Scientific Text Descriptions,Elisa Negrini; Yuxuan Liu; Liu Yang; Stanley J. Osher; Hayden Schaeffer,,,0,1,6,NA-only
1656,2502.05810v1,Acoustic nonlinearity parameter tomography with the Jordan-Moore-Gibson-Thompson equation in frequency domain,Barbara Kaltenbacher,AP_NA,AP;NA,1,1,31,AP+NA
1657,2502.05703v1,Subspace Splitting Fast Sampling from Gaussian Posterior Distributions of Linear Inverse Problems,Daniela Calvetti; Erkki Somersalo,,,0,1,21,NA-only
1658,2502.05692v1,Variational integrators for optimal control of foldable drones,L. Colombo; J. Giribet; D. Martín de Diego,,,0,1,2,NA-only
1659,2502.05552v1,Fourth-order compact exponential splittings for unbounded operators,Juan Carlos Del Valle; Arieh Iserles; Karolina Kropielnicka,,,0,1,29,NA-only
1660,2502.05507v1,Unfitted boundary algebraic equation method based on difference potentials and lattice Green's function in 3D,Qing Xia,,,0,1,4,NA-only
1661,2502.05463v1,Learning Memory and Material Dependent Constitutive Laws,Kaushik Bhattacharya; Lianghao Cao; George Stepaniants; Andrew Stuart; Margaret Trautner,AP_NA,AP;NA,1,1,14,AP+NA
1662,2502.05357v1,Certified algebraic curve projections by path tracking,Michael Burr; Michael Byrd; Kisun Lee,,,0,1,20,NA-only
1663,2502.05355v1,A Characterization of the Behavior of Nonlinear GMRES on Linear Systems,Chen Greif; Yunhui He,,,0,1,1,NA-only
1664,2502.05297v1,Quasicyclic Principal Component Analysis,Susanna E. Rumsey; Stark C. Draper; Frank R. Kschischang,,,0,1,5,NA-only
1665,2502.05279v1,Teaching An Old Dog New Tricks: Porting Legacy Code to Heterogeneous Compute Architectures With Automated Code Translation,Nicolas Nytko; Andrew Reisner; J. David Moulton; Luke N. Olson; Matthew West,,,0,1,20,NA-only
1666,2502.05133v1,Data-Parallel Neural Network Training via Nonlinearly Preconditioned Trust-Region Method,Samuel A. Cruz Alegría; Ken Trotti; Alena Kopaničáková; Rolf Krause,,,0,1,8,NA-only
1667,2502.05101v1,A generalized Active Flux method of arbitrarily high order in two dimensions,Wasilij Barsukow; Praveen Chandrashekar; Christian Klingenberg; Lisa Lechner,,,0,1,13,NA-only
1668,2502.05094v1,Non-linear Quantum Monte Carlo,Jose Blanchet; Yassine Hamoudi; Mario Szegedy; Guanyang Wang,,,0,1,7,NA-only
